terms,label,EuropaCode
accept criticism and guidance,accept constructive criticism,T3.4
accept criticism and guidance,accept criticism and guidance,T3.4
accept criticism and guidance,accept critics,T3.4
accept criticism and guidance,accept feedback,T3.4
accept criticism and guidance,handle feedback,T3.4
accept criticism and guidance,tolerate critics,T3.4
accept criticism and guidance,welcome criticism,T3.4
accept criticism and guidance,welcome feedback,T3.4
accept criticism and guidance,receive feedback,T3.4
adapt to change,adapt to change,T3.4
adapt to change,adapt to changes,T3.4
adapt to change,adapting to change,T3.4
adapt to change,adjust to change,T3.4
adapt to change,assimilate to change,T3.4
adapt to change,be flexible,T3.4
adapt to change,be open to change,T3.4
adapt to change,conform to change,T3.4
adapt to change,demonstrate flexibility,T3.4
adapt to change,openness to change,T3.4
adapt to change,revise plans to deal with changes,T3.4
adapt to change,show willingness to change,T3.4
adapt to change,managing change,T3.4
address an audience,address audiences,T3.4
address an audience,addressing an audience,T4.1
address an audience,deliver a speech,T4.1
address an audience,give a lecture to an audience,T4.1
address an audience,give a talk to an audience,T4.1
address an audience,lecture,T4.1
address an audience,present ideas,T4.1
address an audience,speak to an audience,T4.1
address an audience,address an audience,T4.1
adjust to physical demands,demonstrate physical resilience,T4.1
adjust to physical demands,tolerate unfavourable temperatures,T5.2
adjust to physical demands,work under adverse weather conditions,T5.2
adjust to physical demands,adjust to physical demands,T5.2
adopt ways to foster biodiversity and animal welfare,adopt a sustainable eating habit,T5.2
adopt ways to foster biodiversity and animal welfare,adopt ways to foster biodiversity and animal welfare,T6.2
adopt ways to foster biodiversity and animal welfare,concretely support biodiversity and animal welfare,T6.2
adopt ways to foster biodiversity and animal welfare,environmental impact,T6.2
adopt ways to foster biodiversity and animal welfare,implement environmental choices in your own eating habit,T6.2
adopt ways to foster biodiversity and animal welfare,promoting organic and biological food consumption,T6.2
adopt ways to foster biodiversity and animal welfare,sustainability focus,T6.2
adopt ways to foster biodiversity and animal welfare,take animal welfare into account when buying food products,T6.2
adopt ways to foster biodiversity and animal welfare,take sustainability issues into account in consumption choices,T6.2
adopt ways to foster biodiversity and animal welfare,environmental awareness,T6.2
adopt ways to reduce negative impact of consumption,adopt ways to reduce negative impact of consumption,T6.2
adopt ways to reduce negative impact of consumption,avoid plastic,T6.2
adopt ways to reduce negative impact of consumption,avoid single-use items,T6.2
adopt ways to reduce negative impact of consumption,follow environmentally-sustainable work practices,T6.2
adopt ways to reduce negative impact of consumption,follow recycling collection schedules,T6.2
adopt ways to reduce negative impact of consumption,minimise waste production in households,T6.2
adopt ways to reduce negative impact of consumption,practice a minimalist lifestyle,T6.2
adopt ways to reduce negative impact of consumption,reduce energy usage,T6.2
adopt ways to reduce negative impact of consumption,reduce water or energy consumption,T6.2
adopt ways to reduce negative impact of consumption,reuse materials,T6.2
adopt ways to reduce negative impact of consumption,reuse products,T6.2
adopt ways to reduce negative impact of consumption,share physical resources,T6.2
adopt ways to reduce negative impact of consumption,adopt green technology,T6.2
adopt ways to reduce pollution,adopt ways to reduce pollution,T6.2
adopt ways to reduce pollution,handle your own waste,T6.2
adopt ways to reduce pollution,prefer public to private transport,T6.2
adopt ways to reduce pollution,prevent pollution,T6.2
adopt ways to reduce pollution,reduce noise,T6.2
adopt ways to reduce pollution,use public transportation,T6.2
adopt ways to reduce pollution,mitigate pollution,T6.2
