Reported Job Title,O*NET-SOC Code,,
rn,29-1141.00,,
nurse-registered,29-1141.00,,
registered nursing- rn - skilled nursing facility,29-1141.00,,
LVN,29-2061.00,,
oracle marketing cloud,15-1242.00,,
bookseller - part-time,41-2031.00,,
"bookseller, temporary-fall",41-2031.00,,
customer service rep-self storage mgr,43-4041.00,,
retail store closing lead,41-1011.00,,
online orderfilling & delivery,13-1199.06,,
customer site warehouse support,43-5071.00,,
pizza hut team member,35-2021.00,,
wendy's team member,35-3023.00,,
pt-loader/cart associate-flexible,31-1132.00,,
public sector financial services,13-2031.00,,
wireless sales expert (ft) - inside costco,41-4011.00,,
store hourly,41-2031.00,,
ship from store specialist,27-1026.00,,
illinois truck driving jobs,53-7051.00,,
ft-head cashier-flexible,41-2011.00,,
customer service lead,41-1012.00,,
ft-head cashier-flexible,41-2011.00,,
lvn-lpn,29-2061.00,,
"ambassador, room service",35-3041.00,,
guest experience lead (gel),11-9081.00,,
ft-receiver/stocker-overnight,43-5071.00,,
quality control,17-3026.00,,
automotive technician: ford lincoln veteran careers program,49-2096.00,,
nurse-lpn charge,29-1141.00,,
parts delivery,53-3031.00,,
janitorial maintenance,37-2011.00,,
merchandising,27-1026.00,,
freight/receiving,43-5011.00,,
general merchandise,41-2031.00,,
maintenance,49-9071.00,,
fuel station,53-6031.00,,
pharmacist,29-1051.00,,
stocking & unloading,53-7065.00,,
bindery,51-5113.00,,
sales floor team member,41-4012.00,,
paramedic,29-2043.00,,
restaurant crew,35-3023.00,,
warehouse,53-7065.00,,
team member: food champion,35-3023.00,,
sales support,41-2031.00,,
store employee,41-2031.00,,
concierge,39-6012.00,,
ft-merchandising service associate-day,41-2031.00,,
restaurant management opportunities,11-9051.00,,
housekeeping,37-2012.00,,
beauty team member,39-5012.00,,
human resources generalist,13-1071.00,,
retail shift leader,41-1011.00,,
care coordinator,39-1022.00,,
team lead,11-9199.00,,
human resources specialist,13-1071.00,,
retail sales teammate,41-2031.00,,
ft-merchandising service associate-overnight,41-2031.00,,
retail parts pro,41-2022.00,,
guest experience specialist,11-9081.00,,
ft-cashier-day,41-2011.00,,
guest experience leader,11-9081.00,,
patient care tech,29-2012.00,,
desktop support,15-1232.00,,
care giver,31-1121.00,,
administrative support,43-6011.00,,
maintenance tech,17-3028.00,,
ft-receiver/stocker-day,43-5071.00,,
data entry,43-9021.00,,
accounts receivable,43-3031.00,,
veterinarian,29-1131.00,,
sales lead,41-1012.00,,
consultant,13-1111.00,,
pt-merchandising service associate-flexible,41-2031.00,,
inside sales,11-2022.00,,
maintenance / housekeeping,37-2012.00,,
ft-fulfillment associate-day,43-4151.00,,
breakfast coordinator,35-9011.00,,
retail team member,41-2031.00,,
financial relationship specialist,41-3031.00,,
produce team member,35-2021.00,,
delivery,43-5021.00,,
front desk,35-9031.00,,
janitorial,37-2011.00,,
technical support,15-1232.00,,
direct care staff,31-1122.00,,
retail sales consultant-at&t,41-2031.00,,
talent acquisition consultant,13-1071.00,,
rn-staff,29-1141.00,,
compensation & benefits,11-3111.00,,
deli shift leader,35-1012.00,,
patient services rep,29-2099.08,,
kitchen preparation,35-2021.00,,
academy consultant,21-1012.00,,
store crew,41-2031.00,,
licensed practical nurse-lpn,29-2061.00,,
patient access rep,29-2099.08,,
walmart retail specialist,41-2031.00,,
guest services coordinator,43-4081.00,,
rn operating room,29-1141.00,,
business information consultant,13-1111.00,,
restaurant crewmember,35-3023.00,,
general warehouse,53-7062.00,,
retail sales,41-2031.00,,
retail team member (cashier/food service),41-2011.00,,
regulatory affairs specialist,13-1041.07,,
software engineer intern - applications development,15-1252.00,,
kitchen,35-2012.00,,
supervisory emergency management specialist,11-9161.00,,
RN,29-1141.00,,
business analytics specialist,15-2041.00,,
lawn maintenance,37-3011.00,,
restaurant hourly team member,35-3023.00,,
campaign specialist,11-2011.00,,
software engineering team lead,11-3021.00,,
restaurant team member-cook,35-2014.00,,
environmental services tech,37-2011.00,,
mechanical engineering intern,17-2141.00,,
utility,37-2011.00,,
warehouse support,53-7065.00,,
sanitation,51-9192.00,,
food services worker,35-2012.00,,
information technology specialist,15-1232.00,,
forklift,47-2073.00,,
outreach specialist,11-9151.00,,
graphic design,27-1024.00,,
warehouse team lead,53-7065.00,,
human resources specialist (military),13-1071.00,,
team member : food champion,35-3023.00,,
clerical,43-9061.00,,
guest services rep full time,43-4081.00,,
customer care coordinator,43-4051.00,,
warehouse person,53-7062.00,,
customer consultant,43-4051.00,,
rn,29-1141.00,,
wireless sales expert,41-4011.00,,
Cardiac Care Unit Nurse (CCU Nurse),29-1141.00,,
wireless sales pro,41-4011.00,,
security officer-armed,33-9032.00,,
financial services specialist,41-3031.00,,
Cardiac Nurse Specialist,29-1141.00,,
food service student worker,35-2012.00,,
marketing professional,13-1161.00,,
technician-surgical instrument,31-9093.00,,
CCU Nurse,29-1141.00,,
Automotive Technician,49-2096.00,,
Cashier,41-2011.00,,
Central Supply Nurse,29-1141.00,,
LPN,29-2061.00,,
SQL Server,15-1242.00,,
Certified Operating Room Nurse (CNOR),29-1141.00,,
parts delivery,53-3031.00,,
janitorial maintenance,37-2011.00,,
merchandising,27-1026.00,,
freight/receiving,43-5011.00,,
general merchandise,41-2031.00,,
maintenance,49-9071.00,,
fuel station,53-6031.00,,
pharmacist,29-1051.00,,
stocking & unloading,53-7065.00,,
bindery,51-5113.00,,
sales floor team member,41-4012.00,,
paramedic,29-2043.00,,
restaurant crew,35-3023.00,,
warehouse,53-7065.00,,
team member: food champion,35-3023.00,,
sales support,41-2031.00,,
store employee,41-2031.00,,
concierge,39-6012.00,,
ft-merchandising service associate-day,41-2031.00,,
restaurant management opportunities,11-9051.00,,
housekeeping,37-2012.00,,
beauty team member,39-5012.00,,
human resources generalist,13-1071.00,,
retail shift leader,41-1011.00,,
care coordinator,39-1022.00,,
team lead,11-9199.00,,
human resources specialist,13-1071.00,,
retail sales teammate,41-2031.00,,
ft-merchandising service associate-overnight,41-2031.00,,
retail parts pro,41-2022.00,,
guest experience specialist,11-9081.00,,
ft-cashier-day,41-2011.00,,
guest experience leader,11-9081.00,,
patient care tech,29-2012.00,,
desktop support,15-1232.00,,
care giver,31-1121.00,,
administrative support,43-6011.00,,
maintenance tech,17-3028.00,,
ft-receiver/stocker-day,43-5071.00,,
data entry,43-9021.00,,
accounts receivable,43-3031.00,,
veterinarian,29-1131.00,,
sales lead,41-1012.00,,
consultant,13-1111.00,,
pt-merchandising service associate-flexible,41-2031.00,,
inside sales,11-2022.00,,
maintenance / housekeeping,37-2012.00,,
cashier,41-2011.00,,
.NET Developer,15-1252.00,,
.NET Programmer,15-1251.00,,
3D Animator,27-1014.00,,
3D Animator (Three-Dimensional Animator),27-1014.00,,
3D Artist,27-1013.00,,
3D Artist,27-1014.00,,
3D Artist (Three Dimensional Artist),27-1013.00,,
3D Artist (Three-Dimensional Artist),27-1013.00,,
3D Artist (Three-Dimensional Artist),27-1014.00,,
3D Designer,27-1014.00,,
3D Designer (Three-dimensional Designer),27-1014.00,,
3D Modeler,27-1014.00,,
3D Modeler (Three-Dimensional Modeler),27-1014.00,,
3D Specialist,27-1014.00,,
3D Specialist (Three-Dimensional Specialist),27-1014.00,,
3D Technologist,29-2034.00,,
411 Directory Assistance Operator,43-2021.00,,
4-H Agent,25-9021.00,,
4-H Club Agent,25-9021.00,,
4-H Youth Development Educator,25-9021.00,,
