Statement,Code,Score,Score_v2,strict_score,lenient_score
"Ability to perform modeling and data science, and develop software with highly performant code to enhance the organization's culture while applying retail domain knowledge.",A6.J.6.g.15849,0.508,0.355,0.0,0.0
Ability to analyze business and data processing problems to implement and enhance computer systems using robotics technology.,A6.J.6.e.27824,0.468,0.632,0.0,0.632
Capable of creating data products and developing real-time data pipelines to enhance productivity for analytics and data science teams.,A6.E.0.i.24095,0.537,0.546,0.0,0.0
"Ability to present compelling and validated stories regarding complex data science aspects to colleagues and professionals within and outside the organization, including those with basic knowledge of data science.",A6.H.2.c.20281,0.64,0.469,0.0,0.0
"Proficient in applying knowledge and skills in mathematics, statistics, computer science, quality assurance principles, laboratory research methods, data management, and environmental regulations.",A6.B.5.d.13029,0.455,0.265,0.0,0.0
"Knowledge and skills required for positions in computer science, particularly with an emphasis on cybersecurity.",A6.A.3.c.19414,0.573,0.449,0.0,0.0
"Ability to coach customers on practical challenges, issues, and tests in machine learning systems, including feature extraction, feature definition, data validation, monitoring, and management of features and models.",A6.G.0.f.24612,0.703,0.556,0.0,0.556
"Ability to make and communicate principled conclusions from data using mathematics, statistics, computer science, and application-specific knowledge.",A6.D.0.k.22469,0.681,0.513,0.0,0.513
"Proficient in understanding and discussing architectural concepts, algorithms, and scheduling trade-offs with technical team members.",A6.A.15.d.18100,0.661,0.417,0.0,0.417
"Develop, train, and evaluate machine learning models and algorithms to solve complex business problems using modern frameworks, open-source libraries, and statistical tools.",A6.J.11.h.28913,0.658,0.672,0.0,0.672
"Ability to enforce data governance, security, compliance standards, and best practices across various data workflows and engineering processes, including coding, documentation, and quality management.",A6.C.8.d.19324,0.652,0.447,0.0,0.0
Ability to contribute to and support various engineering and data analysis teams through collaborative efforts in projects.,A6.L.0.b.18058,0.666,0.416,0.0,0.0
Ability to diagnose and troubleshoot issues from low-level hardware problems to large-scale failures within datacenter clusters.,A6.G.6.d.12639,0.646,0.25,0.0,0.0
"Provide machine learning expertise to support the technical relationship with customers through product briefings, proof-of-concept work, and collaboration with product management to enhance customer adoption of cloud solutions.",A6.J.2.d.20018,0.596,0.463,0.0,0.0
Participate in on-call rotations to provide support for critical incidents and maintain the reliability of data engineering systems and services.,A6.G.6.k.15734,0.603,0.352,0.0,0.0
"Ability to confer with system and hardware engineers to derive software requirements and obtain information on project limitations, capabilities, performance requirements, and interfaces.",A6.G.0.ad.17573,0.521,0.404,0.0,0.0
"Develops and utilizes machine learning and data mining algorithms, specifically Multiple Information Model Synthesis Architecture (MIMOSA) prediction algorithms based on open-source capabilities.",A6.J.11.h.24556,0.653,0.555,0.555,0.555
Ability to contribute to the creation of user stories for components and applications within agile methodology.,A6.H.6.c.18059,0.525,0.416,0.0,0.0
"Contributes to the development and enforcement of internal ethics and privacy policies, ensuring responsible AI practices throughout the entire AI development cycle from data collection to deployment and monitoring.",A6.G.2.k.29183,0.609,0.687,0.0,0.0
Ability to transform data science prototypes into production-ready software products.,A6.F.4.c.23694,0.628,0.538,0.0,0.538
"Analyze and solve complex problems in online advertising using information retrieval, machine learning, data mining, and statistical modeling.",A6.B.0.w.26004,0.628,0.585,0.0,0.585
"Develops prototype solutions, mathematical models, and algorithms to create robust analytics and visualizations that lead to actionable insights.",A6.F.1.d.21556,0.631,0.495,0.0,0.495
"Have one or two years of technical information technology experience in applications development, network operation, web site development, database maintenance, or information technology support, along with a bachelor's degree in an information technology field.",A6.A.3.h.10214,0.526,0.105,0.0,0.0
Ability to prepare and analyze data for machine learning by identifying optimal features and addressing data gaps using modern frameworks and advanced models.,A6.J.1.a.24353,0.655,0.551,0.551,0.551
Connect and build APIs for turning data science models into a full production system.,A6.G.0.ab.21189,0.689,0.488,0.0,0.488
"Proficient in processing, filtering, and presenting large quantities of big data, ranging from 100K to billions of rows.",A6.A.14.i.25916,0.607,0.583,0.0,0.0
Participate in code reviews and contribute to the development of best practices for code quality and software engineering.,A6.G.2.n.14562,0.62,0.319,0.0,0.0
"Participate in code reviews to ensure code quality, identify areas for improvement, and contribute to best practices in ML Ops.",A6.G.2.n.18357,0.616,0.423,0.0,0.0
"Familiarity with modern front-end and back-end technologies, particularly React and TypeScript, along with front-end build pipelines and design patterns.",A6.A.3.e.12793,0.65,0.256,0.0,0.0
"Conduct code reviews, provide technical guidance, and ensure adherence to best practices in software development and engineering.",A6.G.2.m.12241,0.656,0.236,0.0,0.0
Demonstrates commitment to equal opportunity employment and supports diverse hiring practices in a leading semiconductor company focused on silicon carbide and GaN technologies.,A6.H.0.e.11726,0.367,0.215,0.0,0.0
